Int32;Int32;;
-999930414;-999930414;Да;ИСТИНА
-999326447;-999326447;Да;ИСТИНА
-995832302;-995832302;Да;ИСТИНА
-995266635;-995266635;Да;ИСТИНА
-995115580;-995115580;Да;ИСТИНА
-994917810;-994917810;Да;ИСТИНА
-994679342;-994679342;Да;ИСТИНА
-994567891;-994567891;Да;ИСТИНА
-993470331;-993470331;Да;ИСТИНА
-992007530;-992007530;Да;ИСТИНА
-990891588;-990891588;Да;ИСТИНА
-989923180;-989923180;Да;ИСТИНА
-989441516;-989441516;Да;ИСТИНА
-989431487;-989431487;Да;ИСТИНА
-987503773;-987503773;Да;ИСТИНА
-987241909;-987241909;Да;ИСТИНА
-986958551;-986958551;Да;ИСТИНА
-986606920;-986606920;Да;ИСТИНА
-985484469;-985484469;Да;ИСТИНА
-985058025;-985058025;Да;ИСТИНА
-984490969;-984490969;Да;ИСТИНА
-982606549;-982606549;Да;ИСТИНА
-976861635;-976861635;Да;ИСТИНА
-975475123;-975475123;Да;ИСТИНА
-975104296;-975104296;Да;ИСТИНА
-975034643;-975034643;Да;ИСТИНА
-974425003;-974425003;Да;ИСТИНА
-974151504;-974151504;Да;ИСТИНА
-973889756;-973889756;Да;ИСТИНА
-973502862;-973502862;Да;ИСТИНА
-971158251;-971158251;Да;ИСТИНА
-970678692;-970678692;Да;ИСТИНА
-970295394;-970295394;Да;ИСТИНА
-970268637;-970268637;Да;ИСТИНА
-970025847;-970025847;Да;ИСТИНА
-970023220;-970023220;Да;ИСТИНА
-967266769;-967266769;Да;ИСТИНА
-967016524;-967016524;Да;ИСТИНА
-966629562;-966629562;Да;ИСТИНА
-965764861;-965764861;Да;ИСТИНА
-965273125;-965273125;Да;ИСТИНА
-964492644;-964492644;Да;ИСТИНА
-963428055;-963428055;Да;ИСТИНА
-962047462;-962047462;Да;ИСТИНА
-961163549;-961163549;Да;ИСТИНА
-959657268;-959657268;Да;ИСТИНА
-958636309;-958636309;Да;ИСТИНА
-957927134;-957927134;Да;ИСТИНА
-957709001;-957709001;Да;ИСТИНА
-957454790;-957454790;Да;ИСТИНА
-957403072;-957403072;Да;ИСТИНА
-957099743;-957099743;Да;ИСТИНА
-956912138;-956912138;Да;ИСТИНА
-956856621;-956856621;Да;ИСТИНА
-955339381;-955339381;Да;ИСТИНА
-955289863;-955289863;Да;ИСТИНА
-954671613;-954671613;Да;ИСТИНА
-954139449;-954139449;Да;ИСТИНА
-953656541;-953656541;Да;ИСТИНА
-953363011;-953363011;Да;ИСТИНА
-953072291;-953072291;Да;ИСТИНА
-951032098;-951032098;Да;ИСТИНА
-951022185;-951022185;Да;ИСТИНА
-948984597;-948984597;Да;ИСТИНА
-947509412;-947509412;Да;ИСТИНА
-944612401;-944612401;Да;ИСТИНА
-944539860;-944539860;Да;ИСТИНА
-943756291;-943756291;Да;ИСТИНА
-941941483;-941941483;Да;ИСТИНА
-939660190;-939660190;Да;ИСТИНА
-938920963;-938920963;Да;ИСТИНА
-938491463;-938491463;Да;ИСТИНА
-938373779;-938373779;Да;ИСТИНА
-936557203;-936557203;Да;ИСТИНА
-935874761;-935874761;Да;ИСТИНА
-935853917;-935853917;Да;ИСТИНА
-935370860;-935370860;Да;ИСТИНА
-934395000;-934395000;Да;ИСТИНА
-933737448;-933737448;Да;ИСТИНА
-932582942;-932582942;Да;ИСТИНА
-930826941;-930826941;Да;ИСТИНА
-930107648;-930107648;Да;ИСТИНА
-928723779;-928723779;Да;ИСТИНА
-928499773;-928499773;Да;ИСТИНА
-928381813;-928381813;Да;ИСТИНА
-927805228;-927805228;Да;ИСТИНА
-925962636;-925962636;Да;ИСТИНА
-925526889;-925526889;Да;ИСТИНА
-925390952;-925390952;Да;ИСТИНА
-925159634;-925159634;Да;ИСТИНА
-924930616;-924930616;Да;ИСТИНА
-923693535;-923693535;Да;ИСТИНА
-923531802;-923531802;Да;ИСТИНА
-923475489;-923475489;Да;ИСТИНА
-920583399;-920583399;Да;ИСТИНА
-920204326;-920204326;Да;ИСТИНА
-917799825;-917799825;Да;ИСТИНА
-917283596;-917283596;Да;ИСТИНА
-916555853;-916555853;Да;ИСТИНА
-915627327;-915627327;Да;ИСТИНА
-915532876;-915532876;Да;ИСТИНА
-913223950;-913223950;Да;ИСТИНА
-913090877;-913090877;Да;ИСТИНА
-909990915;-909990915;Да;ИСТИНА
-909482884;-909482884;Да;ИСТИНА
-909367003;-909367003;Да;ИСТИНА
-908287883;-908287883;Да;ИСТИНА
-908098332;-908098332;Да;ИСТИНА
-907825796;-907825796;Да;ИСТИНА
-907801057;-907801057;Да;ИСТИНА
-907790878;-907790878;Да;ИСТИНА
-907609832;-907609832;Да;ИСТИНА
-907082394;-907082394;Да;ИСТИНА
-906942759;-906942759;Да;ИСТИНА
-906700998;-906700998;Да;ИСТИНА
-906516147;-906516147;Да;ИСТИНА
-906082881;-906082881;Да;ИСТИНА
-905848543;-905848543;Да;ИСТИНА
-903650058;-903650058;Да;ИСТИНА
-902635000;-902635000;Да;ИСТИНА
-900155329;-900155329;Да;ИСТИНА
-898298714;-898298714;Да;ИСТИНА
-897164904;-897164904;Да;ИСТИНА
-896581093;-896581093;Да;ИСТИНА
-893943712;-893943712;Да;ИСТИНА
-893462526;-893462526;Да;ИСТИНА
-893236896;-893236896;Да;ИСТИНА
-892542047;-892542047;Да;ИСТИНА
-892046027;-892046027;Да;ИСТИНА
-890683026;-890683026;Да;ИСТИНА
-890263067;-890263067;Да;ИСТИНА
-889878048;-889878048;Да;ИСТИНА
-886708523;-886708523;Да;ИСТИНА
-885500688;-885500688;Да;ИСТИНА
-885173400;-885173400;Да;ИСТИНА
-885070405;-885070405;Да;ИСТИНА
-884046881;-884046881;Да;ИСТИНА
-881928646;-881928646;Да;ИСТИНА
-881580433;-881580433;Да;ИСТИНА
-878727620;-878727620;Да;ИСТИНА
-877227487;-877227487;Да;ИСТИНА
-876515790;-876515790;Да;ИСТИНА
-874547613;-874547613;Да;ИСТИНА
-874471400;-874471400;Да;ИСТИНА
-873137918;-873137918;Да;ИСТИНА
-872821137;-872821137;Да;ИСТИНА
-871329007;-871329007;Да;ИСТИНА
-869317224;-869317224;Да;ИСТИНА
-869160399;-869160399;Да;ИСТИНА
-869007018;-869007018;Да;ИСТИНА
-868181006;-868181006;Да;ИСТИНА
-867970002;-867970002;Да;ИСТИНА
-866174169;-866174169;Да;ИСТИНА
-865611862;-865611862;Да;ИСТИНА
-865291259;-865291259;Да;ИСТИНА
-864823714;-864823714;Да;ИСТИНА
-864583643;-864583643;Да;ИСТИНА
-864401216;-864401216;Да;ИСТИНА
-864173087;-864173087;Да;ИСТИНА
-862788631;-862788631;Да;ИСТИНА
-862658756;-862658756;Да;ИСТИНА
-862630517;-862630517;Да;ИСТИНА
-861845604;-861845604;Да;ИСТИНА
-861185476;-861185476;Да;ИСТИНА
-859483187;-859483187;Да;ИСТИНА
-857684357;-857684357;Да;ИСТИНА
-855897051;-855897051;Да;ИСТИНА
-854747240;-854747240;Да;ИСТИНА
-854329455;-854329455;Да;ИСТИНА
-853960401;-853960401;Да;ИСТИНА
-853485245;-853485245;Да;ИСТИНА
-852022320;-852022320;Да;ИСТИНА
-851835307;-851835307;Да;ИСТИНА
-851339416;-851339416;Да;ИСТИНА
-849986933;-849986933;Да;ИСТИНА
-849778873;-849778873;Да;ИСТИНА
-848776344;-848776344;Да;ИСТИНА
-848278244;-848278244;Да;ИСТИНА
-847801345;-847801345;Да;ИСТИНА
-847338867;-847338867;Да;ИСТИНА
-844226775;-844226775;Да;ИСТИНА
-843764014;-843764014;Да;ИСТИНА
-843662676;-843662676;Да;ИСТИНА
-841215216;-841215216;Да;ИСТИНА
-838763643;-838763643;Да;ИСТИНА
-838753568;-838753568;Да;ИСТИНА
-836522335;-836522335;Да;ИСТИНА
-836375536;-836375536;Да;ИСТИНА
-836015723;-836015723;Да;ИСТИНА
-835384497;-835384497;Да;ИСТИНА
-834562807;-834562807;Да;ИСТИНА
-830226936;-830226936;Да;ИСТИНА
-830195429;-830195429;Да;ИСТИНА
-830069996;-830069996;Да;ИСТИНА
-828875891;-828875891;Да;ИСТИНА
-828691417;-828691417;Да;ИСТИНА
-827978641;-827978641;Да;ИСТИНА
-827878078;-827878078;Да;ИСТИНА
-827413158;-827413158;Да;ИСТИНА
-825094766;-825094766;Да;ИСТИНА
-824840029;-824840029;Да;ИСТИНА
